53+0i 2.14330189702943+0i 0.780745478903046+0.0445454148370193i 0.582273059575821+0.179403438233324i 0.006062823259778+0i
54+0i 2.07851910246016+0i 0.786195785784695+0.044758461335549i 0.585957607615841+0.175650076619262i -0.00540808553491974+0i
55+0i 2.02206960139417+0i 0.791001857433682+0.0441796299697021i 0.58930829924413+0.17085498474508i -0.0152860140243596+0i
56+0i 1.97482643092906+0i 0.795090027763874+0.0427604621520069i 0.592333544724678+0.164950531184331i -0.0234404643572048+0i
57+0i 1.93618280884273+0i 0.798481239492785+0.040596727807491i 0.595110870020579+0.158034557940645i -0.0300080779856487+0i
58+0i 1.90577525568753+0i 0.801217708892112+0.0376864460835993i 0.59769615448346+0.150134857800259i -0.0350871203838499+0i
59+0i 1.88156586440331+0i 0.803471323566794+0.0341990660221203i 0.600232524203493+0.141446425623404i -0.0391472374752163+0i
60+0i 1.86210320344951+0i 0.805348650999116+0.030348275637972i 0.602785790284866+0.132182733401806i -0.0425096467834385+0i
61+0i 1.84554523549023+0i 0.807004399051941+0.0263529727965621i 0.605446938511347+0.122609192123283i -0.0456198570154816+0i
62+0i 1.82997542945374+0i 0.808613332172751+0.0223753430160498i 0.60828517910347+0.112959112719852i -0.0488781812970393+0i
63+0i 1.81409861363273+0i 0.810279557932024+0.018648895487077i 0.611321888004765+0.103481553420816i -0.0525711386797008+0i
64+0i 1.79673525566611+0i 0.812119205012902+0.0153122807760744i 0.614550277754562+0.0943613466428976i -0.056963489769155+0i
65+0i 1.77613497270066+0i 0.814273369665453+0.0124840753328258i 0.618047006851095+0.0857865498147517i -0.0624009758771886+0i
66+0i 1.75146935425496+0i 0.816812973599396+0.0102457471154826i 0.621821611445754+0.0779064586369679i -0.0690481582832153+0i
67+0i 1.72268202913181+0i 0.81973641332632+0.00863186390244988i 0.625779809477151+0.0708075492392814i -0.0768704502489719+0i
68+0i 1.68905990402677+0i 0.823106026303671+0.00760167430440092i 0.629968438792042+0.0645221275445352i -0.086020365012378+0i
69+0i 1.65162216796481+0i 0.826831963568632+0.00707218300322151i 0.634279655588675+0.0590444480350907i -0.0962565699374842+0i
70+0i 1.61018443899091+0i 0.830927477313491+0.00692339908053728i 0.638711713971239+0.0543108377037315i -0.107568839675085+0i
71+0i 1.56586068498701+0i 0.835293491642209+0.00703496631317873i 0.64320121790121+0.0502537598719179i -0.119721331330271+0i
72+0i 1.51978108415351+0i 0.839832369317617+0.00721681793959978i 0.647686481941617+0.0467452785395507i -0.132447933267912+0i
73+0i 1.47229019158909+0i 0.844510288040848+0.00737119726416915i 0.6521290669452+0.0436992827360079i -0.145606560187385+0i
74+0i 1.42401136158377+0i 0.84926721577553+0.00734918041502428i 0.656518640238347+0.0409808816160337i -0.159037833098228+0i
75+0i 1.37579850704977+0i 0.85403018329412+0.00707990760367351i 0.660796120701642+0.0385063473798684i -0.172523039461108+0i
76+0i 1.32822591854767+0i 0.858742461080495+0.00654711235792211i 0.664939404343015+0.0362324424476078i -0.18591533514654+0i
77+0i 1.28166884677895+0i 0.86336644582248+0.00572321273134934i 0.668933345542567+0.034069763746578i -0.199070047181976+0i
78+0i 1.23698978576592+0i 0.867823795556677+0.00463735672785808i 0.672705335437579+0.031975603853112i -0.211743660743841+0i
79+0i 1.19446944987185+0i 0.872080454553651+0.00334920781566545i 0.676225925235882+0.0299139703251769i -0.223793548795478+0i
80+0i 1.154590555934+0i 0.876085353380894+0.00190488171506333i 0.679459874770345+0.0278879582799895i -0.235058820466771+0i
81+0i 1.11774933428683+0i 0.879794425067278+0.000389801479427937i 0.682348863068051+0.025884212464962i -0.245357970623294+0i
82+0i 1.08447859619751+0i 0.883149323550248+-0.00110383580387019i 0.684832130482334+0.0239184153535613i -0.254495593689095+0i
83+0i 1.05544264373148+0i 0.886081476822369+-0.00252949677857125i 0.686851132066426+0.021976139509803i -0.262253191659803+0i
84+0i 1.03101112051329+0i 0.888551099053627+-0.00384658640447558i 0.688355539022503+0.0200509520843567i -0.268474220116602+0i
85+0i 1.011636205626+0i 0.890508253576251+-0.00500874908497049i 0.689292103160804+0.0181626398371072i -0.273007811649038+0i
86+0i 0.997569790437866+0i 0.891925648206393+-0.00600026407234406i 0.689643640963062+0.0163168277798201i -0.275777991477079+0i
87+0i 0.988538312519195+0i 0.892827401204273+-0.00683134784086813i 0.68944161899036+0.0145216277060837i -0.276861561747439+0i
88+0i 0.984824904152798+0i 0.893188446914703+-0.00752317062565468i 0.688658108879263+0.0127675256434967i -0.276189802794024+0i
89+0i 0.985665465473944+0i 0.893083296291737+-0.00812417428050059i 0.687383374469906+0.0110310904038241i -0.274001944185096+0i
90+0i 0.990547930292035+0i 0.892562283268261+-0.00862672246300276i 0.685688993914934+0.00935382811164395i -0.270498172209376+0i
91+0i 0.998560324976545+0i 0.891719536672607+-0.00906455115882253i 0.683656208344333+0.00774930964118241i -0.265962457777292+0i
92+0i 1.00858541232669+0i 0.890668352009954+-0.00944101382835357i 0.681413690384355+0.00623717953275818i -0.260771977833769+0i
93+0i 1.01963931261896+0i 0.88951133289043+-0.00975528171001475i 0.679062966863474+0.00484735729323238i -0.255257614399512+0i
94+0i 1.03052032790194+0i 0.8883704024914+-0.0100093702707423i 0.676725551469134+0.00358494228894409i -0.249802260716219+0i
95+0i 1.04001934755153+0i 0.887369837671352+-0.0101534956899252i 0.674522645018213+0.00252534085395638i -0.244799460440798+0i
96+0i 1.04740473162792+0i 0.886586070395818+-0.0101673289046659i 0.672532814425306+0.00167533997276588i -0.240497070904658+0i
97+0i 1.05204775792567+0i 0.886086250922563+-0.0100155651712879i 0.67081059709864+0.00104575959802649i -0.237089820040233+0i
